epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.462,1.57772,1.21117,1.05407,0.94891,0.95005,0.98043,0.69926,1.04812,0.64459,0.89588,0.000555219,0.000555219,0.000555219
2,324.208,1.04502,0.63656,0.88931,0.95947,0.96206,0.98473,0.74981,0.91063,0.53579,0.86117,0.000890931,0.000890931,0.000890931
3,485.196,0.90642,0.55633,0.86011,0.96599,0.96464,0.99128,0.82389,0.70201,0.45697,0.81611,0.0010066,0.0010066,0.0010066
4,641.894,0.80417,0.50286,0.84062,0.97082,0.96819,0.99244,0.84105,0.63738,0.42609,0.80353,0.000676802,0.000676802,0.000676802
5,798.076,0.7183,0.45984,0.82753,0.98535,0.98475,0.99378,0.87489,0.54625,0.37221,0.79017,0.000346736,0.000346736,0.000346736
